time,leaf1 input packet rate,leaf1 output packet rate,leaf2 input packet rate,leaf2 output packet rate,leaf3 input packet rate,leaf3 output packet rate,leaf4 input packet rate,leaf4 output packet rate,leaf5 input packet rate,leaf5 output packet rate,leaf6 input packet rate,leaf6 output packet rate,leaf7 input packet rate,leaf7 output packet rate,leaf8 input packet rate,leaf8 output packet rate,spine1 input packet rate,spine1 output packet rate,spine2 input packet rate,spine2 output packet rate,spine3 input packet rate,spine3 output packet rate,spine4 input packet rate,spine4 output packet rate
1501867420165000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420168000000,,,,,,,,,,,,,,,6,5,,,,,,,,
1501867420170000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420172000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420175000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420177000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420179000000,,,,,,,,,,,,,,,1094367,1136627,,,,,,,,
1501867420181000000,,,,,,,,,,,,,,,1754674,1136707,,,,,,,,
1501867420184000000,,,,,,,,,,,,,,,1653938,967168,,,,,,,,
1501867420186000000,,,,,,,,,,,,,,,1536793,663884,,,,,,,,
1501867420189000000,,,,,,,,,,,,,,,878512,567041,,,,,,,,
1501867420191000000,,,,,,,,,,,,,,,520471,716383,,,,,,,,
1501867420193000000,,,,,,,,,,,,,,,840478,1190112,,,,,,,,
1501867420195000000,,,,,,,,,,,,,,,870038,1167213,,,,,,,,
1501867420198000000,,,,,,,,,,,,,,,728473,831254,,,,,,,,
1501867420200000000,,,,,,,,,,,,,,,1187948,581226,,,,,,,,
1501867420203000000,,,,,,,,,,,,,,,444143,988797,,,,,,,,
1501867420205000000,,,,,,,,,,,,,,,1007302,725143,,,,,,,,
1501867420207000000,,,,,,,,,,,,,,,1072444,1502955,,,,,,,,
1501867420210000000,,,,,,,,,,,,,,,663318,1022738,,,,,,,,
1501867420212000000,,,,,,,,,,,,,,,810671,599978,,,,,,,,
1501867420215000000,,,,,,,,,,,,,,,749776,439543,,,,,,,,
1501867420218000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420220000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420223000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420225000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420227000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420229000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420232000000,,,,,,,,,,,,,,,339,2765,,,,,,,,
1501867420234000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420236000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420239000000,,,,,,,,,,,,,,,0,0,,,,,,,,
1501867420241000000,,,,,,,,,,,,,,,6502288,8130591,,,,,,,,
1501867420243000000,,,,,,,,,,,,,,,7734296,7681028,,,,,,,,
1501867420282000000,,,,,,,,,,,,,,,,,,,0,0,,,,
1501867420284000000,,,,,,,,,,,,,,,,,,,7,5,,,,
1501867420286000000,,,,,,,,,,,,,,,,,,,1045399,603823,,,,
1501867420289000000,,,,,,,,,,,,,,,,,,,727901,286779,,,,
1501867420291000000,,,,,,,,,,,,,,,,,,,745412,1395269,,,,
1501867420293000000,,,,,,,,,,,,,,,,,,,1545798,617326,,,,
1501867420295000000,,,,,,,,,,,,,,,,,,,942957,759012,,,,
1501867420298000000,,,,,,,,,,,,,,,,,,,1303038,1061777,,,,
1501867420300000000,,,,,,,,,,,,,,,,,,,856691,1109355,,,,
1501867420302000000,,,,,,,,,,,,,,,,,,,1338187,971074,,,,
1501867420305000000,,,,,,,,,,,,,,,,,,,1,924451,,,,
1501867420307000000,,,,,,,,,,,,,,,,,,,1,1085507,,,,
1501867420309000000,,,,,,,,,,,,,,,,,,,1,872710,,,,
1501867420312000000,,,,,,,,,,,,,,,,,,,1,816217,,,,
1501867420314000000,,,,,,,,,,,,,,,,,,,690667,1079434,,,,
1501867420317000000,,,,,,,,,,,,,,,,,,,1015633,1387713,,,,
1501867420319000000,,,,,,,,,,,,,,,,,,,890843,808633,,,,
