time,leaf1 input packet rate,leaf1 output packet rate,leaf2 input packet rate,leaf2 output packet rate,leaf3 input packet rate,leaf3 output packet rate,leaf4 input packet rate,leaf4 output packet rate,leaf5 input packet rate,leaf5 output packet rate,leaf6 input packet rate,leaf6 output packet rate,leaf7 input packet rate,leaf7 output packet rate,leaf8 input packet rate,leaf8 output packet rate,spine1 input packet rate,spine1 output packet rate,spine2 input packet rate,spine2 output packet rate,spine3 input packet rate,spine3 output packet rate,spine4 input packet rate,spine4 output packet rate
1501868629618000000,,,,,,,,,,,0,0,0,0,,,,,,,,,,
1501868629620000000,,,,,,,,,,,,,0,0,,,,,,,,,,
1501868629621000000,,,,,,,,,,,7825406,6291422,,,,,,,,,,,,
1501868629622000000,,,,,,,,,,,,,0,0,,,,,,,,,,
1501868629624000000,,,,,,,,,,,7780086,6119448,,,,,,,,,,,,
1501868629625000000,,,,,,,,,,,,,0,0,,,,,,,,,,
1501868629627000000,,,,,,,,,,,,,0,0,,,,,,,,,,
1501868629629000000,,,,,,,,,,,,,0,0,,,,,,,,,,
1501868629631000000,,,,,,,,,,,,,0,0,,,,,,,,,,
1501868629634000000,,,,,,,,,,,,,0,0,,,,,,,,,,
1501868629636000000,,,,,,,,,,,,,0,0,,,,,,,,,,
1501868629638000000,,,,,,,,,,,,,0,1,,,,,,,,,,
1501868629641000000,,,,,,,,,,,,,7938786,8129188,,,,,,,,,,
1501868629643000000,,,,,,,,,,,,,7520120,8238976,,,,,,,,,,
1501868630183000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630185000000,10,13,,,,,,,,,,,,,,,,,,,,,,
1501868630188000000,4003224,3021615,,,,,,,,,,,,,,,,,,,,,,
1501868630190000000,3484822,3955240,,,,,,,,,,,,,,,,,,,,,,
1501868630192000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630195000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630198000000,689993,1079053,,,,,,,,,,,,,,,,,,,,,,
1501868630202000000,620692,990684,,,,,,,,,,,,,,,,,,,,,,
1501868630205000000,1268188,879088,,,,,,,,,,,,,,,,,,,,,,
1501868630207000000,985467,1132228,,,,,,,,,,,,,,,,,,,,,,
1501868630210000000,620055,1099363,,,,,,,,,,,,,,,,,,,,,,
1501868630212000000,304810,764495,,,,,,,,,,,,,,,,,,,,,,
1501868630214000000,1365269,770788,,,,,,,,,,,,,,,,,,,,,,
1501868630217000000,638208,1556750,,,,,,,,,,,,,,,,,,,,,,
1501868630219000000,908894,1115724,,,,,,,,,,,,,,,,,,,,,,
1501868630221000000,1028850,900358,,,,,,,,,,,,,,,,,,,,,,
1501868630224000000,1189434,882539,,,,,,,,,,,,,,,,,,,,,,
1501868630227000000,1268600,730181,,,,,,,,,,,,,,,,,,,,,,
1501868630231000000,772727,1083040,,,,,,,,,,,,,,,,,,,,,,
1501868630234000000,834809,952240,,,,,,,,,,,,,,,,,,,,,,
1501868630236000000,1398472,1045818,,,,,,,,,,,,,,,,,,,,,,
1501868630238000000,1103703,895483,,,,,,,,,,,,,,,,,,,,,,
1501868630241000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630243000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630246000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630248000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630251000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630253000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630256000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630258000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630261000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630263000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630266000000,8389514,8020823,,,,,,,,,,,,,,,,,,,,,,
1501868630268000000,0,0,,,,,,,,,,,,,,,,,,,,,,
1501868630516000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630518000000,,,,,,,7,6,,,,,,,,,,,,,,,,
1501868630520000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630522000000,,,,,,,4326125,6559253,,,,,,,,,,,,,,,,
1501868630525000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630527000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630529000000,,,,,,,912213,751336,,,,,,,,,,,,,,,,
1501868630532000000,,,,,,,721846,930249,,,,,,,,,,,,,,,,
1501868630534000000,,,,,,,653938,1040938,,,,,,,,,,,,,,,,
1501868630536000000,,,,,,,810471,827614,,,,,,,,,,,,,,,,
1501868630539000000,,,,,,,1069566,720050,,,,,,,,,,,,,,,,
1501868630541000000,,,,,,,1353980,1013958,,,,,,,,,,,,,,,,
1501868630543000000,,,,,,,872459,869159,,,,,,,,,,,,,,,,
1501868630546000000,,,,,,,978291,945670,,,,,,,,,,,,,,,,
1501868630548000000,,,,,,,1203120,538573,,,,,,,,,,,,,,,,
1501868630550000000,,,,,,,566511,714506,,,,,,,,,,,,,,,,
1501868630553000000,,,,,,,1098866,1055001,,,,,,,,,,,,,,,,
1501868630555000000,,,,,,,816928,667711,,,,,,,,,,,,,,,,
1501868630557000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630560000000,,,,,,,1372295,896753,,,,,,,,,,,,,,,,
1501868630562000000,,,,,,,1146990,1074728,,,,,,,,,,,,,,,,
1501868630565000000,,,,,,,537367,615614,,,,,,,,,,,,,,,,
1501868630567000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630570000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630572000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630574000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630577000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630579000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630581000000,,,,,,,191,2108,,,,,,,,,,,,,,,,
1501868630583000000,,,,,,,1,726,,,,,,,,,,,,,,,,
1501868630586000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630588000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630591000000,,,,,,,8335511,7553976,,,,,,,,,,,,,,,,
1501868630593000000,,,,,,,0,0,,,,,,,,,,,,,,,,
1501868630865000000,,,,,,,,,0,0,,,,,,,,,,,,,,
1501868630867000000,,,,,,,,,6,4,,,,,,,,,,,,,,
1501868630870000000,,,,,,,,,0,0,,,,,,,,,,,,,,
1501868630872000000,,,,,,,,,0,0,,,,,,,,,,,,,,
1501868630875000000,,,,,,,,,0,0,,,,,,,,,,,,,,
1501868630877000000,,,,,,,,,0,0,,,,,,,,,,,,,,
1501868630880000000,,,,,,,,,1929284,989879,,,,,,,,,,,,,,
1501868630882000000,,,,,,,,,1408078,1221128,,,,,,,,,,,,,,
1501868630885000000,,,,,,,,,1317044,756606,,,,,,,,,,,,,,
1501868630887000000,,,,,,,,,1379225,956289,,,,,,,,,,,,,,
1501868630890000000,,,,,,,,,572295,813955,,,,,,,,,,,,,,
1501868630892000000,,,,,,,,,802167,788254,,,,,,,,,,,,,,
1501868630895000000,,,,,,,,,724651,1143080,,,,,,,,,,,,,,
1501868630897000000,,,,,,,,,731105,739886,,,,,,,,,,,,,,
1501868630899000000,,,,,,,,,818064,1227149,,,,,,,,,,,,,,
1501868630902000000,,,,,,,,,668440,1188655,,,,,,,,,,,,,,
