time,leaf1 input packet rate,leaf1 output packet rate,leaf2 input packet rate,leaf2 output packet rate,leaf3 input packet rate,leaf3 output packet rate,leaf4 input packet rate,leaf4 output packet rate,leaf5 input packet rate,leaf5 output packet rate,leaf6 input packet rate,leaf6 output packet rate,leaf7 input packet rate,leaf7 output packet rate,leaf8 input packet rate,leaf8 output packet rate,spine1 input packet rate,spine1 output packet rate,spine2 input packet rate,spine2 output packet rate,spine3 input packet rate,spine3 output packet rate,spine4 input packet rate,spine4 output packet rate
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,7,5,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,1999871,1084739,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,2225531,1015584,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,2012826,1118287,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,1349260,972785,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,806430,626729,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,545609,531949,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,413465,420874,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,655696,687866,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,723043,783939,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,934302,971605,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,881333,1177982,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,692772,1360391,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,504458,1393668,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,700369,1215872,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,627400,939218,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,951154,999912,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
1.50187E+18,,,,,,,,,,,,,0,0,,,,,,,,,,
